,City,Country,Longitude (Degrees),Latitude (Degrees),Maximum Temperature (F),Humidity (%),Wind Speed (MPH),Cloudiness (%)
0,Kasese,UG,0.17,0.17,62.22,100,2.77,44
1,Port Alfred,ZA,-33.59,-33.59,59.88,85,11.83,0
2,Havoysund,NO,71.0,71.0,44.6,100,2.24,75
3,Kamloops,CA,50.68,50.68,69.8,68,8.05,90
4,Nizhniy Ingash,RU,56.2,56.2,61.59,98,5.28,80
5,Port Elizabeth,US,39.31,39.31,72.27,100,5.39,1
6,Ancud,CL,-41.87,-41.87,48.72,97,10.6,92
7,Kodiak,US,39.95,39.95,68.0,94,5.82,75
8,Ushuaia,AR,-54.81,-54.81,30.2,86,4.7,90
9,Port Alfred,ZA,-33.59,-33.59,59.88,85,11.83,0
10,Tiksi,RU,71.64,71.64,54.39,72,4.0,80
11,Revda,RU,67.94,67.94,48.54,99,3.22,20
12,Sibu,MY,2.29,2.29,82.4,78,4.7,40
13,Coihaique,CL,-45.58,-45.58,37.24,93,3.36,90
14,Kerman,IR,30.29,30.29,71.6,13,4.7,0
15,Khatanga,RU,71.98,71.98,58.35,91,20.45,100
16,Hermanus,ZA,-34.42,-34.42,53.31,92,6.13,48
17,Pointe Michel,DM,15.25,15.25,76.62,100,16.8,92
18,Puerto Ayora,EC,-0.74,-0.74,71.31,100,12.17,8
19,Geraldton,CA,49.72,49.72,66.2,45,6.93,40
20,Ushuaia,AR,-54.81,-54.81,30.2,86,4.7,90
21,Provideniya,RU,64.42,64.42,48.2,81,15.66,90
22,Bluff,AU,-23.58,-23.58,71.85,49,11.43,0
23,Sonoita,US,31.68,31.68,89.76,15,8.05,1
24,Yabelo,ET,4.89,4.89,49.17,90,2.55,0
25,Chokurdakh,RU,70.62,70.62,57.9,88,9.86,0
26,Punta Arenas,CL,-53.16,-53.16,33.8,74,28.86,75
27,Vaini,IN,15.34,15.34,69.87,99,3.56,92
28,Yeppoon,AU,-23.13,-23.13,75.2,47,12.75,20
29,Arraial do Cabo,BR,-22.97,-22.97,69.51,94,9.93,0
30,Ribeira Grande,PT,38.52,38.52,69.6,100,8.63,92
31,Ancud,CL,-41.87,-41.87,48.72,97,10.6,92
32,Upernavik,GL,72.79,72.79,33.42,92,2.21,88
33,Ponta do Sol,BR,-20.63,-20.63,58.62,89,4.5,88
34,Kodiak,US,39.95,39.95,68.0,94,5.82,75
35,Bredasdorp,ZA,-34.53,-34.53,60.51,87,19.89,92
36,Punta Arenas,CL,-53.16,-53.16,33.8,74,28.86,75
37,Castro,CL,-42.48,-42.48,48.09,100,10.94,92
38,Hobart,AU,-42.88,-42.88,55.4,58,10.29,75
39,Nelson Bay,AU,-32.72,-32.72,53.6,93,9.17,75
40,Butaritari,KI,3.07,3.07,83.46,100,10.09,36
41,Ixtapa,MX,20.71,20.71,78.8,74,6.93,40
42,San Cristobal,EC,-0.39,-0.39,48.2,93,9.17,40
43,North Bend,US,43.41,43.41,61.7,77,8.05,90
44,Ilulissat,GL,69.22,69.22,35.6,80,4.7,88
45,Kapaa,US,22.08,22.08,83.19,66,12.75,40
46,Jamestown,AU,-33.21,-33.21,56.37,49,5.39,0
47,Puerto Ayora,EC,-0.74,-0.74,71.31,100,12.17,8
48,Rio Grande,BR,-32.03,-32.03,48.99,97,15.64,0
49,Qaanaaq,GL,77.48,77.48,29.64,100,4.56,56
50,Dzhebariki-Khaya,RU,62.22,62.22,63.3,49,6.06,92
51,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
52,Vaini,IN,15.34,15.34,69.87,99,3.56,92
53,Port Alfred,ZA,-33.59,-33.59,59.88,85,11.83,0
54,Tuktoyaktuk,CA,69.44,69.44,51.8,57,12.75,75
55,New Norfolk,AU,-42.78,-42.78,55.4,58,10.29,75
56,Khash,IR,28.22,28.22,75.81,19,5.84,0
57,Hojslev,DK,56.59,56.59,44.6,93,8.05,0
58,Grand Gaube,MU,-20.01,-20.01,69.8,94,2.24,40
59,Port Elizabeth,US,39.31,39.31,72.27,100,5.39,1
60,Lethem,GY,3.38,3.38,66.72,98,2.71,32
61,Nizwa,OM,22.93,22.93,82.11,34,2.59,20
62,Gumdag,TM,39.2,39.2,71.49,60,4.61,0
63,Sao Joao da Barra,BR,-21.64,-21.64,74.28,97,18.03,0
64,Mataura,NZ,-46.19,-46.19,40.62,92,4.56,36
65,Ribeira Grande,PT,38.52,38.52,69.6,100,8.63,92
66,Punta Arenas,CL,-53.16,-53.16,33.8,74,28.86,75
67,Bilma,NE,18.69,18.69,78.96,41,3.38,32
68,Lavrentiya,RU,65.58,65.58,41.34,83,20.22,92
69,Sigli,ID,5.38,5.38,80.31,95,1.77,80
70,Cidreira,BR,-30.17,-30.17,59.97,98,10.16,100
71,Douglas,US,31.34,31.34,87.8,12,10.29,1
72,Saint-Augustin,FR,44.83,44.83,64.4,63,9.17,0
73,Qaanaaq,GL,77.48,77.48,29.64,100,4.56,56
74,Berlevag,NO,70.86,70.86,44.6,93,5.82,90
75,Bluff,AU,-23.58,-23.58,71.85,49,11.43,0
76,Punta Arenas,CL,-53.16,-53.16,33.8,74,28.86,75
77,Oranjemund,ZA,-28.55,-28.55,57.99,100,9.93,0
78,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
79,Uvat,RU,59.14,59.14,59.07,72,6.58,44
80,Albany,US,42.65,42.65,62.19,45,10.29,20
81,Ushuaia,AR,-54.81,-54.81,30.2,86,4.7,90
82,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
83,Thinadhoo,MV,0.53,0.53,83.82,100,9.26,56
84,Atuona,PF,-9.8,-9.8,80.67,100,15.97,0
85,Umm Kaddadah,SD,13.6,13.6,70.59,95,3.22,8
86,Bredasdorp,ZA,-34.53,-34.53,60.51,87,19.89,92
87,Hermanus,ZA,-34.42,-34.42,53.31,92,6.13,48
88,Kodiak,US,39.95,39.95,68.0,94,5.82,75
89,Inuvik,CA,68.36,68.36,69.8,43,14.99,40
90,Ushuaia,AR,-54.81,-54.81,30.2,86,4.7,90
91,Busselton,AU,-33.64,-33.64,60.24,100,5.23,64
92,Port Macquarie,AU,-31.43,-31.43,66.2,52,2.24,0
93,Kapaa,US,22.08,22.08,83.19,66,12.75,40
94,Kirillov,RU,59.86,59.86,60.24,75,9.26,32
95,Vaini,IN,15.34,15.34,69.87,99,3.56,92
96,Hasaki,JP,35.73,35.73,78.12,69,8.05,75
97,Makat,KZ,47.65,47.65,74.1,34,4.56,0
98,Barrow,AR,-38.31,-38.31,35.22,61,5.73,0
99,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
100,Paamiut,GL,61.99,61.99,38.01,96,30.62,92
101,La Union,GT,14.97,14.97,66.99,100,1.99,76
102,Buraydah,SA,26.33,26.33,80.6,30,9.17,0
103,Qaanaaq,GL,77.48,77.48,29.64,100,4.56,56
104,High Level,CA,58.52,58.52,82.4,45,9.17,75
105,Cape Town,ZA,-33.93,-33.93,57.2,93,11.41,75
106,Shingu,JP,33.72,33.72,78.8,69,3.36,75
107,Srednekolymsk,RU,67.46,67.46,76.62,32,3.11,12
108,Atuona,PF,-9.8,-9.8,80.67,100,15.97,0
109,Jamestown,AU,-33.21,-33.21,56.37,49,5.39,0
110,Kudahuvadhoo,MV,2.67,2.67,83.82,100,10.87,24
111,Butaritari,KI,3.07,3.07,83.46,100,10.09,36
112,Kirkenaer,NO,60.46,60.46,47.37,60,10.42,0
113,Puerto Ayora,EC,-0.74,-0.74,71.31,100,12.17,8
114,Ulundi,ZA,-28.29,-28.29,42.51,52,4.27,0
115,Makakilo City,US,21.35,21.35,85.53,48,10.29,40
116,Los Llanos de Aridane,ES,28.66,28.66,68.0,72,6.93,48
117,Kapaa,US,22.08,22.08,83.19,66,12.75,40
118,Ribeira Grande,PT,38.52,38.52,69.6,100,8.63,92
119,Chuy,UY,-33.69,-33.69,45.21,90,14.34,0
120,Jamestown,AU,-33.21,-33.21,56.37,49,5.39,0
121,Hilo,US,19.71,19.71,73.08,65,9.17,20
122,Mataura,NZ,-46.19,-46.19,40.62,92,4.56,36
123,Vao,EE,59.1,59.1,54.66,95,13.06,76
124,San Ramon,NI,12.92,12.92,71.22,94,2.04,100
125,Takaka,NZ,-40.86,-40.86,50.61,89,2.82,0
126,Hofn,IS,64.25,64.25,47.91,96,19.6,64
127,Hithadhoo,MV,-0.6,-0.6,82.83,100,8.75,48
128,Saint-Philippe,CA,45.36,45.36,58.66,93,2.77,1
129,Ponta do Sol,BR,-20.63,-20.63,58.62,89,4.5,88
130,Margate,AU,-43.03,-43.03,55.4,58,10.29,75
131,Arraial do Cabo,BR,-22.97,-22.97,69.51,94,9.93,0
132,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
133,Jamestown,AU,-33.21,-33.21,56.37,49,5.39,0
134,Sao Filipe,CV,14.9,14.9,72.3,100,13.67,0
135,Busselton,AU,-33.64,-33.64,60.24,100,5.23,64
136,Mataura,NZ,-46.19,-46.19,40.62,92,4.56,36
137,Mauriti,BR,-7.39,-7.39,75.63,58,12.66,80
138,Yellowknife,CA,62.45,62.45,71.6,46,9.17,75
139,Ketchikan,US,55.34,55.34,56.57,77,8.05,90
140,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
141,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
142,Ushuaia,AR,-54.81,-54.81,30.2,86,4.7,90
143,Port Elizabeth,US,39.31,39.31,72.27,100,5.39,1
144,Scarborough,GB,54.28,54.28,49.35,71,5.82,0
145,Aldan,RU,58.61,58.61,57.27,84,4.12,68
146,Fortuna,ES,38.18,38.18,68.0,77,4.7,0
147,Jamestown,AU,-33.21,-33.21,56.37,49,5.39,0
148,Yellowknife,CA,62.45,62.45,71.6,46,9.17,75
149,Berlevag,NO,70.86,70.86,44.6,93,5.82,90
150,Husavik,CA,50.56,50.56,78.96,43,5.06,44
151,Arraial do Cabo,BR,-22.97,-22.97,69.51,94,9.93,0
152,Grand Gaube,MU,-20.01,-20.01,69.8,94,2.24,40
153,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
154,Cape Town,ZA,-33.93,-33.93,57.2,93,11.41,75
155,Cidreira,BR,-30.17,-30.17,59.97,98,10.16,100
156,Puerto Ayora,EC,-0.74,-0.74,71.31,100,12.17,8
157,Cidreira,BR,-30.17,-30.17,59.97,98,10.16,100
158,Upernavik,GL,72.79,72.79,33.42,92,2.21,88
159,Honningsvag,NO,70.98,70.98,43.23,100,6.02,92
160,Ushuaia,AR,-54.81,-54.81,30.2,86,4.7,90
161,Namatanai,PG,-3.66,-3.66,81.21,100,4.34,12
162,Shimoda,JP,34.7,34.7,75.2,73,5.82,75
163,Ancud,CL,-41.87,-41.87,48.72,97,10.6,92
164,Cabo San Lucas,MX,22.89,22.89,76.06,32,14.79,5
165,Shush,RU,55.6,55.6,72.93,69,8.52,0
166,Valreas,FR,44.38,44.38,68.95,60,24.16,0
167,Sinnamary,GF,5.38,5.38,79.14,100,8.41,88
168,Kruisfontein,ZA,-34.0,-34.0,59.34,91,17.31,0
169,Codrington,AU,-28.95,-28.95,63.93,71,5.01,0
170,Kenora,CA,49.76,49.76,75.24,60,5.79,1
171,Arraial do Cabo,BR,-22.97,-22.97,69.51,94,9.93,0
172,Albany,US,42.65,42.65,62.19,45,10.29,20
173,Castro,CL,-42.48,-42.48,48.09,100,10.94,92
174,Bagotville,AU,-28.98,-28.98,66.99,100,12.44,76
175,Salekhard,RU,66.54,66.54,61.77,75,23.73,24
176,Bredasdorp,ZA,-34.53,-34.53,60.51,87,19.89,92
177,Sitka,US,37.17,37.17,79.14,42,8.3,0
178,Camopi,GF,3.17,3.17,74.19,96,1.7,44
179,Pevek,RU,69.7,69.7,49.62,70,1.48,0
180,Mataura,NZ,-46.19,-46.19,40.62,92,4.56,36
181,Salinopolis,BR,-0.61,-0.61,81.39,96,13.06,80
182,Krivosheino,RU,57.34,57.34,64.29,72,7.63,92
183,Bubaque,GW,11.28,11.28,77.0,94,3.36,20
184,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
185,Mardin,TR,37.32,37.32,69.8,60,6.93,0
186,Yellowknife,CA,62.45,62.45,71.6,46,9.17,75
187,Narsaq,GL,60.91,60.91,39.2,93,3.36,92
188,Saint-Philippe,CA,45.36,45.36,58.66,93,2.77,1
189,Yellowknife,CA,62.45,62.45,71.6,46,9.17,75
190,Cabo San Lucas,MX,22.89,22.89,76.06,32,14.79,5
191,Coos Bay,US,43.37,43.37,61.7,72,11.41,1
192,Puerto Ayora,EC,-0.74,-0.74,71.31,100,12.17,8
193,Bluff,AU,-23.58,-23.58,71.85,49,11.43,0
194,Avarua,CK,-21.21,-21.21,78.8,83,5.82,40
195,Harper,US,30.3,30.3,84.18,48,9.17,1
196,Puerto Ayora,EC,-0.74,-0.74,71.31,100,12.17,8
197,Nikolskoye,RU,59.7,59.7,64.4,77,8.95,0
198,Castro,CL,-42.48,-42.48,48.09,100,10.94,92
199,Mareeba,AU,-16.99,-16.99,80.6,44,18.34,20
200,Houston,US,29.76,29.76,81.01,88,3.36,75
201,Bambous Virieux,MU,-20.34,-20.34,69.8,94,2.24,40
202,Miyako,JP,33.63,33.63,77.38,48,11.41,75
203,Mataura,NZ,-46.19,-46.19,40.62,92,4.56,36
204,Jamestown,AU,-33.21,-33.21,56.37,49,5.39,0
205,Providencia,CO,1.24,1.24,47.19,93,2.21,12
206,Cayenne,GF,4.94,4.94,77.0,94,4.72,0
207,Antofagasta,CL,-23.65,-23.65,55.4,76,3.36,90
208,Hilo,US,19.71,19.71,73.08,65,9.17,20
209,Khorramabad,IR,33.48,33.48,55.56,49,2.77,0
210,Wanning,AT,48.64,48.64,60.8,67,5.82,75
211,Knysna,ZA,-34.04,-34.04,58.26,91,13.33,68
212,Sfantu Gheorghe,RO,44.65,44.65,65.3,100,4.7,0
213,Lata,IN,30.78,30.78,66.54,74,1.77,0
214,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
215,Arman,RU,59.7,59.7,60.8,63,4.47,40
216,Ponta do Sol,BR,-20.63,-20.63,58.62,89,4.5,88
217,Utena,LT,55.5,55.5,53.31,92,14.07,64
218,Albany,US,42.65,42.65,62.19,45,10.29,20
219,Castro,CL,-42.48,-42.48,48.09,100,10.94,92
220,Yar-Sale,RU,66.83,66.83,51.24,74,16.58,88
221,Egvekinot,RU,66.32,66.32,57.36,33,3.56,0
222,Provideniya,RU,64.42,64.42,48.2,81,15.66,90
223,Mahebourg,MU,-20.41,-20.41,69.8,94,2.24,40
224,Sistranda,NO,63.73,63.73,48.2,81,18.34,75
225,Beidao,CN,34.57,34.57,72.66,82,3.49,32
226,Wiang Sa,TH,8.64,8.64,85.17,88,5.82,20
227,Saldanha,PT,41.42,41.42,60.69,91,5.35,0
228,Shahr-e Babak,IR,30.12,30.12,69.33,21,2.48,0
229,Trairi,BR,-3.28,-3.28,80.85,99,20.56,8
230,Saint George,GR,39.45,39.45,66.2,72,3.89,20
231,Vieux-Habitants,GP,16.06,16.06,75.2,94,8.05,80
232,Tuktoyaktuk,CA,69.44,69.44,51.8,57,12.75,75
233,Butaritari,KI,3.07,3.07,83.46,100,10.09,36
234,Eureka,US,40.8,40.8,61.14,82,10.29,90
235,Petatlan,MX,17.52,17.52,84.2,70,8.3,40
236,Dikson,RU,73.51,73.51,34.32,90,16.58,0
237,Cam Ranh,VN,11.92,11.92,86.43,78,3.38,20
238,De Aar,ZA,-30.65,-30.65,28.47,67,3.38,0
239,Vao,EE,59.1,59.1,54.66,95,13.06,76
240,Hobart,AU,-42.88,-42.88,55.4,58,10.29,75
241,Mahebourg,MU,-20.41,-20.41,69.8,94,2.24,40
242,Alta Floresta,BR,-9.87,-9.87,74.37,71,3.04,44
243,Rikitea,PF,-23.12,-23.12,70.41,100,10.04,92
244,Arman,RU,59.7,59.7,60.8,63,4.47,40
245,Khatanga,RU,71.98,71.98,58.35,91,20.45,100
246,Albany,US,42.65,42.65,62.19,45,10.29,20
247,Kapaa,US,22.08,22.08,83.19,66,12.75,40
248,Bluff,AU,-23.58,-23.58,71.85,49,11.43,0
249,New Norfolk,AU,-42.78,-42.78,55.4,58,10.29,75
250,Mayor Pablo Lagerenza,PY,-19.93,-19.93,73.2,57,4.23,76
251,Busselton,AU,-33.64,-33.64,60.24,100,5.23,64
252,Haines Junction,CA,60.75,60.75,62.49,41,4.12,0
253,Cape Town,ZA,-33.93,-33.93,57.2,93,11.41,75
254,Lebu,ET,8.96,8.96,41.79,79,2.59,0
255,Bredasdorp,ZA,-34.53,-34.53,60.51,87,19.89,92
256,Petropavlovsk-Kamchatskiy,RU,53.05,53.05,48.2,81,6.71,75
257,Dikson,RU,73.51,73.51,34.32,90,16.58,0
258,Atuona,PF,-9.8,-9.8,80.67,100,15.97,0
259,Emmett,US,43.87,43.87,80.22,34,6.93,1
260,Chokurdakh,RU,70.62,70.62,57.9,88,9.86,0
261,Shingu,JP,33.72,33.72,78.8,69,3.36,75
262,Butaritari,KI,3.07,3.07,83.46,100,10.09,36
263,Yellowknife,CA,62.45,62.45,71.6,46,9.17,75
264,Turia,RU,50.89,50.89,65.46,67,6.02,0
265,Nizhnevartovsk,RU,60.93,60.93,59.0,87,15.66,40
266,Aklavik,CA,68.22,68.22,69.8,43,14.99,40
267,Panguipulli,CL,-39.64,-39.64,46.4,100,3.36,90
268,Mataura,NZ,-46.19,-46.19,40.62,92,4.56,36
269,Leningradskiy,RU,69.38,69.38,33.78,92,14.18,0
270,Yuzhne,UA,48.22,48.22,64.4,59,4.47,0
271,New Norfolk,AU,-42.78,-42.78,55.4,58,10.29,75
